"u","G","H","Points:0","Points:1","Points:2"
-1.911,-71.606,71.606,-7.304,-0.009,-1.081
-2.8474,-107.43,107.43,-6.826,0.199,-0.229
-2.3728,-88.521,88.521,-6.933,0.139,-1.085
-2.5848,-102.3,102.3,-6.647,-2.105,-0.088
-1.6659,-67.768,67.768,-7.144,-2.077,-0.955
-2.0864,-83.291,83.291,-6.754,-2.165,-0.945
-2.5674,-101.95,101.95,-6.524,-2.168,-0.099
-2.1522,-86.207,86.207,-6.631,-2.229,-0.956
-2.3554,-92.92,92.92,-6.327,-2.237,-0.546
-1.6936,-79.087,79.087,-4.86,-2.189,-1.787
-1.7098,-78.364,78.364,-5.215,-2.183,-2.155
-1.4842,-68.909,68.909,-5.104,-2.082,-2.526
-2.0537,-75.876,75.876,-5.237,0.058,-2.697
-2.3441,-86.559,86.559,-5.362,0.202,-2.345
-2.8034,-101.46,101.46,-4.496,0.34,-2.032
-2.775,-97.919,97.919,-4.563,0.436,-1.891
-2.4383,-89.892,89.892,-5.427,0.295,-2.209
-2.55,-88.607,88.607,-5.08,0.378,-1.844
-2.72,-99.722,99.722,-6.413,0.362,-0.718
-2.5425,-94.438,94.438,-6.714,0.28,-1.123
-2.8754,-107.55,107.55,-6.607,0.341,-0.266
-2.2869,-91.611,91.611,-5.291,0.684,-0.158
-2.595,-101.62,101.62,-5.523,0.651,0.275
-2.4369,-95.879,95.879,-5.238,0.742,0.665
-1.948,-81.582,81.582,-6.731,-0.235,1.788
-2.4584,-99.584,99.584,-6.965,-0.292,1.359
-1.6384,-70.791,70.791,-6.756,-0.295,2.175
-1.5323,-69.517,69.517,-6.695,-1.319,2.229
-2.3738,-97.965,97.965,-6.897,-1.433,1.419
-1.8424,-79.984,79.984,-6.661,-1.416,1.85
-1.9077,-88.226,88.226,-5.124,-2.344,0.876
-2.105,-94.639,94.639,-5.413,-2.328,0.479
-1.7489,-83.723,83.723,-5.176,-2.403,0.053
-1.8356,-88.29,88.29,-4.645,-2.249,0.839
-1.5095,-77.958,77.958,-4.698,-2.308,0.015
-1.7024,-87.044,87.044,-3.933,-2.224,0.415
-1.6243,-85.124,85.124,-3.853,-2.26,0.269
-1.4448,-75.939,75.939,-4.618,-2.343,-0.13
-1.4488,-78.472,78.472,-4.1,-2.285,-0.177
-2.0316,-92.195,92.195,-4.273,-2.09,-1.852
-1.6878,-79.447,79.447,-4.791,-2.149,-1.805
-1.4834,-68.947,68.947,-5.044,-2.047,-2.541
-2.2393,-97.679,97.679,-4.18,-2.034,-1.954
-1.4615,-68.201,68.201,-4.964,-1.998,-2.63
-2.768,-116.4,116.4,-3.815,-1.989,-2.318
-3.3694,-124.73,124.73,-4.013,0.247,-2.491
-1.9986,-74.564,74.564,-5.141,0.008,-2.785
-2.9513,-106.78,106.78,-4.385,0.282,-2.133
-3.6811,-133.74,133.74,-3.016,0.772,-1.609
-3.1893,-118.65,118.65,-3.353,0.826,-1.219
-3.485,-127.66,127.66,-2.603,0.854,-1.376
-3.2262,-120.11,120.11,-2.519,0.859,-0.971
-2.9559,-110.67,110.67,-3.268,0.831,-0.814
-2.7669,-106.32,106.32,-3.021,0.856,-0.368
-2.4026,-96.812,96.812,-4.134,0.749,0.255
-2.1367,-89.65,89.65,-4.382,0.723,-0.19
-2.3962,-96.244,96.244,-4.846,0.723,0.68
-2.3918,-95.849,95.849,-4.909,0.716,0.646
-2.1087,-88.817,88.817,-4.444,0.716,-0.224
-2.127,-87.683,87.683,-4.961,0.658,-0.177
-2.7079,-105.81,105.81,-3.911,0.839,0.636
-2.5622,-100.51,100.51,-4.623,0.814,1.06
-2.8806,-113.49,113.49,-4.129,0.797,1.111
-2.6218,-109.13,109.13,-4.202,0.055,2.892
-2.0965,-88.349,88.349,-4.698,0.045,2.905
-1.7744,-76.751,76.751,-4.995,-0.053,3.143
-2.4998,-107.21,107.21,-4.113,-1.254,2.968
-1.6921,-75.248,75.248,-4.914,-1.227,3.211
-1.9661,-86.436,86.436,-4.605,-1.311,2.984
-2.3877,-106,106,-3.925,-2.178,1.276
-2.0506,-93.257,93.257,-4.411,-2.267,1.231
-2.0629,-96.496,96.496,-3.698,-2.242,0.807
-2.859,-119.11,119.11,-2.903,-1.874,1.78
-2.4578,-106.69,106.69,-2.641,-1.927,1.329
-2.9735,-122.87,122.87,-1.328,-2.488,2.082
-2.9023,-123.85,123.85,-1.212,-2.625,1.782
-2.0923,-98.959,98.959,-2.519,-2.07,1.015
-2.486,-110.98,110.98,-1.239,-2.406,1.289
-2.167,-102.35,102.35,-1.183,-2.512,0.897
-1.8417,-93.461,93.461,-2.463,-2.176,0.622
-1.9158,-96.174,96.174,-1.114,-2.7,0.554
-1.7284,-91.641,91.641,-1.131,-2.714,0.071
-1.6448,-90.195,90.195,-2.482,-2.192,0.066
-1.7067,-93.897,93.897,-1.98,-2.189,-0.537
-2.0199,-100.64,100.64,-2.382,-2.236,-0.872
-1.7327,-90.283,90.283,-2.884,-2.239,-0.27
-1.9536,-95.743,95.743,-3.131,-2.265,-0.715
-2.3685,-109.05,109.05,-2.46,-2.266,-1.253
-2.2481,-103.68,103.68,-3.21,-2.294,-1.096
-2.6424,-118.25,118.25,-2.878,-2.241,-1.489
-1.9993,-98.017,98.017,-0.132,-2.526,-0.907
-1.9612,-96.982,96.982,-0.827,-1.972,-1.667
-2.0828,-99.615,99.615,-0.543,-1.789,-1.868
-3.9764,-131.61,131.61,-0.472,0.437,-1.667
-3.922,-130.32,130.32,-0.745,0.598,-1.435
-5.3981,-177.56,177.56,-0.051,1.127,-0.538
-4.2908,-155.51,155.51,-0.959,1.474,-0.006
-3.4992,-125.19,125.19,-1.698,0.963,-0.876
-3.4829,-125.61,125.61,-1.721,0.969,-0.36
-3.0139,-113.69,113.69,-2.417,0.888,-0.372
-3.1872,-119.21,119.21,-2.42,0.878,-0.889
-2.7818,-106.82,106.82,-2.922,0.875,-0.286
-2.9399,-115.12,115.12,-2.207,0.89,0.64
-2.8885,-110.99,110.99,-2.704,0.877,0.762
-2.9962,-121.09,121.09,-1.82,0.982,1.057
-2.743,-112.3,112.3,-1.942,0.838,1.476
-2.9936,-116.16,116.16,-2.827,0.733,1.18
-3.2692,-125.59,125.59,-3.083,0.694,1.636
-2.4238,-105.03,105.03,-1.882,0.737,1.826
-3.228,-125.87,125.87,-3.025,0.597,1.974
-2.1629,-96.833,96.833,-1.966,0.563,2.173
-2.0404,-92.801,92.801,-1.867,-1.441,2.494
-2.9504,-121.56,121.56,-2.915,-1.636,2.332
-2.7955,-117.79,117.79,-1.339,-2.254,2.627
-1.3145,-78.846,78.846,-1.326,-0.908,3.202
-1.7197,-91.28,91.28,-0.744,-1.667,3.406
-1.221,-75.936,75.936,-0.489,-1.453,3.605
-1.5658,-84.065,84.065,1.273,-2.452,3.454
-1.8501,-96.608,96.608,1.194,-2.766,3.239
-1.594,-88.014,88.014,2.056,-2.85,2.898
-1.6542,-88.668,88.668,1.559,-3.429,1.355
-2.6975,-120.6,120.6,0.648,-3.403,1.542
-2.3733,-110.47,110.47,0.712,-3.223,1.037
-2.4455,-111.13,111.13,0.482,-3.272,0.993
-2.8205,-122.86,122.86,0.428,-3.449,1.5
-2.2297,-102.79,102.79,0.328,-3.358,0.637
-2.1075,-100.52,100.52,-0.876,-2.991,0.723
-2.925,-125.24,125.24,-0.897,-3.046,1.594
-2.4965,-110.94,110.94,-0.908,-2.848,1.092
-2.1386,-105.38,105.38,0.832,-3.157,0.78
-2.1091,-101.57,101.57,0.631,-3.259,0.453
-1.6415,-90.062,90.062,1.662,-3.373,1.132
-2.073,-103.14,103.14,1.981,-3.04,0.704
-2.1406,-104.32,104.32,0.95,-2.927,0.024
-2.4599,-120.58,120.58,1.729,-2.548,0.213
-2.6312,-125.52,125.52,1.717,-2.403,-0.06
-2.2411,-106.1,106.1,0.939,-2.802,-0.212
-2.9397,-134.92,134.92,1.835,-2.263,-0.412
-3.2077,-140.26,140.26,1.301,-1.612,-1.05
-2.2655,-106.81,106.81,0.405,-2.151,-0.849
-2.5687,-111.23,111.23,-0.006,-1.414,-1.81
-4.9821,-181.85,181.85,1.548,-0.653,-1.224
-3.8739,-135.95,135.95,0.241,-0.454,-1.984
-6.8523,-246.46,246.46,1.785,0.313,-1.53
-6.7271,-237.22,237.22,1.224,1.175,-1.194
-4.1193,-135.39,135.39,-0.27,0.329,-1.679
-5.6609,-183.35,183.35,0.172,1.008,-0.552
-6.581,-237.15,237.15,1.338,1.962,-0.802
-5.545,-188.46,188.46,0.287,1.795,-0.16
-6.0578,-212.78,212.78,1.187,2.08,-0.292
-5.7591,-204.12,204.12,1.163,2.213,-0.16
-5.3835,-185.6,185.6,0.264,1.922,-0.034
-5.1741,-189.18,189.18,1.143,2.563,0.028
-2.8157,-140.66,140.66,1.158,2.602,1.716
-3.1569,-145.48,145.48,0.281,1.965,1.824
-2.7221,-136.06,136.06,0.797,1.913,1.975
-2.4701,-125.96,125.96,0.671,1.634,2.278
-2.8984,-137.03,137.03,0.161,1.699,2.112
-2.1349,-113.69,113.69,0.829,1.522,2.625
-1.5818,-100.74,100.74,0.494,0.834,2.889
-2.1603,-119.88,119.88,-0.207,0.942,2.402
-1.3454,-87.18,87.18,-0.792,0.363,2.799
-1.8591,-93.929,93.929,-1.378,0.687,2.479
